2026-04-28 12:19:38,256 | INFO     | yara_scan            | YARA HIT  287698b0e9f9247b → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:38,386 | INFO     | yara_scan            | YARA HIT  ad047ec362d0411a → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:38,397 | INFO     | yara_scan            | YARA HIT  204d33fa4c538009 → HighEntropy_Dropper,T1027_Obfuscated_Files,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:38,422 | INFO     | yara_scan            | YARA HIT  7515f96d2e5131ff → C2_Known_Bad_Domains,HighRisk_C2_Communication
2026-04-28 12:19:38,467 | INFO     | yara_scan            | YARA HIT  7f0262a3b5518181 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload
2026-04-28 12:19:38,579 | INFO     | yara_scan            | YARA HIT  08361f5b6dc82549 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:40,691 | INFO     | yara_scan            | YARA HIT  6f41eb7277d11c12 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload
2026-04-28 12:19:40,692 | INFO     | yara_scan            | YARA HIT  320729f6b7497071 → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:40,709 | INFO     | yara_scan            | YARA HIT  3ed1aa3d17546982 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload
2026-04-28 12:19:40,721 | INFO     | yara_scan            | YARA HIT  86e5472a734cf3a0 → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:40,723 | INFO     | yara_scan            | YARA HIT  63b5b0e1d15fd14d → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:40,982 | INFO     | yara_scan            | YARA HIT  ce7191415aa8affa → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload
2026-04-28 12:19:40,984 | INFO     | yara_scan            | YARA HIT  c548532196a9afdf → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:41,917 | INFO     | yara_scan            | YARA HIT  b2ea0791400c9974 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:41,982 | INFO     | yara_scan            | YARA HIT  1f920871e2ca0814 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload
2026-04-28 12:19:42,270 | INFO     | yara_scan            | YARA HIT  f9970fcb011030e3 → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:42,618 | INFO     | yara_scan            | YARA HIT  32f92dd20ecbfb14 → Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:42,624 | INFO     | yara_scan            | YARA HIT  64ac719f41f09fd0 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:42,626 | INFO     | yara_scan            | YARA HIT  7462cbbc0b424284 → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:42,638 | INFO     | yara_scan            | YARA HIT  68f4a9cbb4eef9bc → Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:42,781 | INFO     | yara_scan            | YARA HIT  06cc24cf453a9374 → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:42,784 | INFO     | yara_scan            | YARA HIT  1c26b97102c10093 → HighEntropy_Dropper,T1027_Obfuscated_Files,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:42,784 | INFO     | yara_scan            | YARA complete: scanned=147  hits=47  no_file=0
2026-04-28 12:19:42,785 | INFO     | main                 | [Step 3/5] Done — 147 files scanned, 47 hits  (12.43s)
2026-04-28 12:19:42,785 | INFO     | main                 | [Step 4/5] Async Threat Intel (VT, AbuseIPDB, OTX) enrichment …
